Data_Zone, SIMD_tot , Inc_rank , Emp_rank , Hlth_rank , Edu_rank , Hou_rank , Acc_rank , Crime_rank 
S01008729,0.78,0.69,0.85,0.68,0.81,0.65,0.86,0.29
S01008730,0.37,0.27,0.34,0.38,0.42,0.17,0.78,0.68
S01008731,0.26,0.25,0.27,0.26,0.32,0.40,0.45,0.14
S01008732,0.19,0.18,0.14,0.23,0.37,0.11,0.65,0.58
S01008733,0.35,0.43,0.33,0.36,0.33,0.10,0.43,0.27
S01008734,0.48,0.47,0.39,0.44,0.46,0.67,0.88,0.54
S01008735,0.80,0.81,0.66,0.64,0.70,0.88,0.85,0.37
S01008736,0.52,0.48,0.46,0.50,0.56,0.78,0.84,0.39
S01008737,0.83,0.77,0.72,0.63,0.64,0.75,0.63,0.66
S01008738,0.81,0.70,0.83,0.81,0.56,0.90,0.79,0.45
S01008739,0.46,0.42,0.40,0.56,0.46,0.60,0.52,0.48
S01008740,0.65,0.70,0.67,0.77,0.42,0.67,0.35,0.71
S01008741,0.72,0.69,0.66,0.64,0.63,0.69,0.53,0.69
S01008742,0.39,0.34,0.38,0.29,0.50,0.70,0.90,0.10
S01008743,0.18,0.18,0.29,0.26,0.08,0.37,0.72,0.12
S01008744,0.32,0.27,0.34,0.27,0.35,0.47,0.62,0.67
S01008745,0.58,0.59,0.52,0.73,0.47,0.63,0.63,0.44
S01008746,0.13,0.12,0.12,0.15,0.16,0.23,0.54,0.17
S01008747,0.70,0.66,0.62,0.62,0.63,0.84,0.76,0.54
S01008748,0.82,0.65,0.83,0.74,0.57,0.82,0.71,0.75
S01008749,0.56,0.59,0.58,0.62,0.40,0.76,0.43,0.49
S01008750,0.69,0.68,0.56,0.59,0.59,0.83,0.82,0.85
S01008751,0.19,0.15,0.17,0.22,0.37,0.64,0.58,0.18
S01008752,0.03,0.03,0.03,0.04,0.08,0.47,0.47,0.16
S01008753,0.11,0.09,0.09,0.11,0.21,0.33,0.38,0.41
S01008754,0.28,0.31,0.28,0.29,0.18,0.61,0.29,0.42
S01008755,0.16,0.17,0.18,0.17,0.14,0.18,0.37,0.17
S01008756,0.09,0.11,0.08,0.12,0.06,0.23,0.61,0.18
S01008757,0.01,0.01,0.01,0.00,0.04,0.27,0.33,0.03
S01008758,0.06,0.07,0.07,0.04,0.07,0.41,0.65,0.08
S01008759,0.04,0.05,0.04,0.04,0.05,0.27,0.61,0.23
S01008760,0.02,0.03,0.02,0.01,0.09,0.36,0.92,0.13
S01008761,0.38,0.47,0.36,0.26,0.28,0.33,0.62,0.51
S01008762,0.49,0.55,0.56,0.38,0.46,0.45,0.69,0.21
S01008763,0.71,0.61,0.68,0.55,0.62,0.55,0.66,0.97
S01008764,0.46,0.45,0.42,0.43,0.53,0.66,0.76,0.21
S01008765,0.47,0.54,0.35,0.33,0.52,0.51,0.82,0.59
S01008766,0.46,0.41,0.39,0.43,0.48,0.67,0.69,0.60
S01008767,0.36,0.27,0.31,0.45,0.48,0.43,0.20,0.72
S01008768,0.29,0.43,0.26,0.22,0.38,0.19,0.30,0.05
S01008769,0.39,0.28,0.32,0.53,0.56,0.16,0.86,0.34
S01008770,0.42,0.38,0.49,0.82,0.46,0.09,0.03,0.64
S01008771,0.40,0.39,0.39,0.46,0.33,0.54,0.30,0.47
S01008772,0.53,0.49,0.57,0.44,0.60,0.46,0.74,0.44
